Id,pitch,roll,yaw
1,0.0000,0.0000,0.0000
2,-0.1135,-0.0380,0.0000
3,-0.0576,-0.0468,0.0000
4,-0.0974,-0.0154,0.0000
5,-0.0601,-0.0216,0.0000
6,-0.0659,-0.0321,0.0000
7,-0.0456,-0.0322,0.0000
8,-0.0377,-0.0254,0.0000
9,-0.0058,-0.0181,0.0000
10,-0.0056,-0.0126,0.0000
11,0.0148,-0.0213,0.0000
12,0.0188,-0.0187,0.0000
13,0.0300,-0.0187,0.0000
14,0.0281,-0.0126,0.0000
15,0.0362,-0.0177,0.0000
16,0.0279,-0.0140,0.0000
17,0.0255,-0.0156,0.0000
18,0.0162,-0.0112,0.0000
19,0.0147,-0.0096,0.0000
20,0.0082,-0.0067,0.0000
21,0.0110,-0.0092,0.0000
22,0.0012,-0.0098,0.0000
23,0.0036,-0.0073,0.0000
24,-0.0049,-0.0090,0.0000
25,-0.0087,-0.0069,0.0000
26,-0.0116,-0.0054,0.0000
27,-0.0124,0.0004,0.0000
28,-0.0151,0.0008,0.0000
29,-0.0173,-0.0026,0.0000
30,-0.0173,-0.0033,0.0000
31,-0.0202,-0.0043,0.0000
32,-0.0190,-0.0032,0.0000
33,-0.0205,-0.0032,0.0000
34,-0.0158,-0.0037,0.0000
35,-0.0190,-0.0041,0.0000
36,-0.0178,-0.0055,0.0000
37,-0.0212,-0.0050,0.0000
38,-0.0189,-0.0083,0.0000
39,-0.0199,-0.0069,0.0000
40,-0.0159,-0.0104,0.0000
41,-0.0190,-0.0085,0.0000
42,-0.0145,-0.0082,0.0000
43,-0.0138,-0.0078,0.0000
44,-0.0061,-0.0092,0.0000
45,-0.0061,-0.0091,0.0000
46,-0.0024,-0.0095,0.0000
47,-0.0027,-0.0100,0.0000
48,-0.0009,-0.0085,0.0000
49,-0.0042,-0.0079,0.0000
50,-0.0036,-0.0064,0.0000
51,-0.0051,-0.0062,0.0000
52,-0.0056,-0.0069,0.0000
53,-0.0060,-0.0070,0.0000
54,-0.0058,-0.0061,0.0000
55,-0.0045,-0.0048,0.0000
56,-0.0045,-0.0034,0.0000
57,-0.0019,-0.0023,0.0000
58,-0.0045,-0.0000,0.0000
59,-0.0041,0.0010,0.0000
60,-0.0079,0.0012,0.0000
61,-0.0098,-0.0003,0.0000
62,-0.0136,0.0008,0.0000
63,-0.0128,-0.0012,0.0000
64,-0.0167,-0.0019,0.0000
65,-0.0167,-0.0040,0.0000
66,-0.0169,-0.0024,0.0000
67,-0.0156,-0.0042,0.0000
68,-0.0167,-0.0024,0.0000
69,-0.0141,-0.0027,0.0000
70,-0.0134,-0.0007,0.0000
71,-0.0119,-0.0017,0.0000
72,-0.0142,-0.0019,0.0000
73,-0.0142,-0.0027,0.0000
74,-0.0160,-0.0031,0.0000
75,-0.0141,-0.0029,0.0000
76,-0.0147,-0.0036,0.0000
77,-0.0136,-0.0035,0.0000
78,-0.0124,-0.0057,0.0000
79,-0.0112,-0.0066,0.0000
80,-0.0087,-0.0066,0.0000
81,-0.0080,-0.0064,0.0000
82,-0.0063,-0.0052,0.0000
83,-0.0064,-0.0047,0.0000
84,-0.0054,-0.0030,0.0000
85,-0.0068,-0.0023,0.0000
86,-0.0067,-0.0026,0.0000
87,-0.0085,-0.0021,0.0000
88,-0.0088,-0.0020,0.0000
89,-0.0102,-0.0015,0.0000
90,-0.0090,-0.0028,0.0000
91,-0.0093,-0.0030,0.0000
92,-0.0087,-0.0042,0.0000
93,-0.0109,-0.0034,0.0000
94,-0.0102,-0.0042,0.0000
95,-0.0129,-0.0041,0.0000
96,-0.0129,-0.0044,0.0000
97,-0.0152,-0.0041,0.0000
98,-0.0151,-0.0042,0.0000
99,-0.0163,-0.0037,0.0000
100,-0.0161,-0.0031,0.0000
101,-0.0158,-0.0034,0.0000
102,-0.0137,-0.0020,0.0000
103,-0.0124,-0.0015,0.0000
104,-0.0102,-0.0024,0.0000
105,-0.0094,-0.0032,0.0000
106,-0.0089,-0.0041,0.0000
107,-0.0087,-0.0039,0.0000
108,-0.0090,-0.0047,0.0000
109,-0.0091,-0.0048,0.0000
110,-0.0094,-0.0047,0.0000
111,-0.0100,-0.0042,0.0000
112,-0.0109,-0.0042,0.0000
113,-0.0099,-0.0053,0.0000
114,-0.0090,-0.0051,0.0000
115,-0.0075,-0.0057,0.0000
116,-0.0069,-0.0050,0.0000
117,-0.0054,-0.0051,0.0000
118,-0.0060,-0.0044,0.0000
119,-0.0052,-0.0056,0.0000
120,-0.0078,-0.0049,0.0000
121,-0.0069,-0.0056,0.0000
122,-0.0086,-0.0060,0.0000
123,-0.0079,-0.0055,0.0000
124,-0.0094,-0.0052,0.0000
125,-0.0079,-0.0045,0.0000
126,-0.0093,-0.0040,0.0000
127,-0.0080,-0.0037,0.0000
128,-0.0084,-0.0040,0.0000
129,-0.0081,-0.0035,0.0000
130,-0.0090,-0.0032,0.0000
131,-0.0099,-0.0040,0.0000
132,-0.0106,-0.0040,0.0000
133,-0.0115,-0.0048,0.0000
134,-0.0117,-0.0052,0.0000
135,-0.0115,-0.0048,0.0000
136,-0.0098,-0.0048,0.0000
137,-0.0090,-0.0048,0.0000
138,-0.0074,-0.0052,0.0000
139,-0.0076,-0.0050,0.0000
140,-0.0067,-0.0050,0.0000
141,-0.0073,-0.0040,0.0000
142,-0.0067,-0.0044,0.0000
143,-0.0077,-0.0037,0.0000
144,-0.0064,-0.0041,0.0000
145,-0.0076,-0.0042,0.0000
146,-0.0064,-0.0044,0.0000
147,-0.0071,-0.0042,0.0000
148,-0.0052,-0.0044,0.0000
149,-0.0046,-0.0044,0.0000
